order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price
48.0,818.0,Francisco Ferguson,34,Handcrafted Chicken,Toys,Debit Card,23,1864.83
49.0,10972.0,Sean Fleming,64,Intelligent Frozen Tuna,Computers,Credit Card,65,100.23
50.0,11356.0,Courtney Patrick,26,Chips,Electronics,Wallet,23,926.26
51.0,11606.0,Eric Coleman,57,Handcrafted Fresh Car,Jewelery,Credit Card,60,186.81
52.0,9283.0,Victor Roy,4,Awesome Wooden Gloves,Sports,Credit Card,19,518.37
53.0,5608.0,Kathy Mckinney,14,Used Keyboard,Automotive,Wallet,45,1920.3
54.0,14159.0,Robert Roberts,41,Generic Plastic Hat,Outdoors,UPI,89,766.66
55.0,12644.0,Bailey Jackson,76,Shoes,Music,Debit Card,91,1036.25
56.0,7695.0,Casey Evans,49,Handcrafted Computer,Automotive,Wallet,59,548.58
57.0,9391.0,Bradley Moran,38,Licensed Pizza,Tools,Debit Card,86,655.43
58.0,10424.0,Lauren Goodman,37,Used Salad,Music,Debit Card,80,19.87
59.0,2803.0,Angela Moody,49,Computer,Books,Debit Card,23,369.72
60.0,7365.0,James Jones,45,Pants,Home,Bank Transfer,83,74.86
61.0,9859.0,Taylor Hernandez,66,Awesome Rubber Computer,Baby,UPI,60,1290.5
62.0,2081.0,Roger Brown,52,Soft Pants,Garden,Credit Card,9,405.53
63.0,13940.0,Karen Peterson,80,Handmade Soft Pants,Beauty,UPI,56,589.27
64.0,2411.0,David Palmer,13,Pants,Home,UPI,29,74.86
65.0,13901.0,Elizabeth Walsh,1,Gently Used Wooden Mouse,Games,Wallet,5,1414.58
66.0,2126.0,Vincent Contreras,27,Cotton Pizza,Computers,Bank Transfer,70,642.72
67.0,3720.0,Wendy Gutierrez,71,Tasty Fresh Table,Books,Debit Card,11,385.79
68.0,10633.0,Paul Hunter,14,Used Keyboard,Automotive,Debit Card,16,1920.3
69.0,4512.0,Diane Figueroa,42,Steel Pizza,Outdoors,Wallet,51,1229.75
70.0,10881.0,Yvonne Kirk,31,Wooden Chair,Health,UPI,22,1037.39
71.0,4503.0,Anthony Miller,46,Computer,Books,Wallet,68,369.72
72.0,7951.0,Kevin Austin,36,Table,Baby,Bank Transfer,12,1475.53
73.0,11260.0,Brooke Huang,36,Ergonomic Table,Movies,Bank Transfer,28,655.68
74.0,11629.0,Mary Leonard,10,Ergonomic Rubber Cheese,Automotive,Wallet,29,637.8
75.0,5794.0,Victoria Jackson,53,Metal Bacon,Industrial,Credit Card,45,1310.64
76.0,4784.0,Dr. Joel Rivera,81,Granite Chicken,Industrial,Bank Transfer,35,1733.0
77.0,14797.0,Mark Burgess,99,Plastic Hat,Movies,Credit Card,52,42.52
78.0,12750.0,Samuel Barrett,38,Licensed Rubber Pizza,Industrial,Credit Card,2,1587.34
79.0,519.0,Alyssa Rivera,72,Concrete Computer,Sports,UPI,50,1248.86
80.0,14986.0,Jeremiah Castillo,45,Pants,Home,Debit Card,14,74.86
81.0,12895.0,Harold Mccullough,82,Soft Mouse,Electronics,UPI,89,69.65
82.0,11553.0,Steven Mcdowell,74,Wooden Bacon,Music,Credit Card,24,1867.87
83.0,3700.0,Sheila Perkins,100,Refined Metal Mouse,Games,Debit Card,39,229.81
84.0,13867.0,Kelsey Martinez,32,Concrete Computer,Sports,Debit Card,99,1248.86
85.0,5819.0,Michael Clarke,63,Soap,Sports,Bank Transfer,84,633.73
86.0,1829.0,Christopher Scott,86,New Granite Chair,Sports,Wallet,2,1550.14
87.0,4763.0,Mark Harrington,71,Tasty Fresh Table,Books,UPI,1,385.79
88.0,14629.0,Brian Hamilton,52,Soft Pants,Garden,Debit Card,43,405.53
89.0,7267.0,Betty Thomas,2,Car,Home,UPI,35,1543.38
90.0,10870.0,Brittany Schultz,4,Gloves,Clothing,Wallet,99,899.27
91.0,7377.0,Andrea Morgan,93,Gently Used Granite Tuna,Health,Wallet,88,1254.51
92.0,1125.0,Gregory House,24,Handmade Sausages,Grocery,UPI,98,1609.54
93.0,9254.0,Johnny Walker,33,Frozen Cheese,Sports,Bank Transfer,18,799.86
94.0,1680.0,Eric Brooks,59,Rustic Frozen Gloves,Tools,Wallet,31,914.87
95.0,13132.0,Stanley Porter,94,Incredible Wooden Fish,Movies,Wallet,61,1823.85
96.0,4995.0,Terri Brock,69,Salad,Tools,Wallet,92,1761.6
97.0,1307.0,Melissa Solis,42,Intelligent Pizza,Games,Credit Card,100,1687.25
98.0,3442.0,Carol Duncan,13,Frozen Pants,Electronics,Bank Transfer,30,1847.12
99.0,11076.0,Jose Martinez,65,Awesome Towels,Grocery,UPI,80,231.3
100.0,8366.0,Gregory Garcia,26,Fantastic Frozen Chips,Industrial,UPI,33,109.39
101.0,14603.0,Ian Baker,26,Frozen Chips,Games,UPI,97,959.42
102.0,9265.0,Paul Sloan,3,Gently Used Soft Gloves,Jewelery,Wallet,86,1752.84
103.0,5165.0,Randy Lindsey,98,Shoes,Music,Debit Card,70,1036.25
104.0,14580.0,James Little,34,Fresh Chicken,Tools,,27,1494.34
105.0,7111.0,Katherine Wright,39,Rubber Ball,Music,Bank Transfer,21,1308.8
106.0,632.0,Travis Johnson,76,Rubber Shoes,Computers,Debit Card,39,179.13
107.0,3964.0,Debra Johnson,27,Unbranded Cotton Pizza,Beauty,Credit Card,50,894.7
108.0,11392.0,Elizabeth Knight,35,Concrete Fish,Kids,Debit Card,25,514.36
109.0,8150.0,Kathy Bishop,43,Awesome Concrete Car,Movies,Credit Card,5,801.35
110.0,8168.0,David Rodriguez MD,10,Ergonomic Rubber Cheese,Automotive,Debit Card,13,637.8
111.0,14133.0,Melissa Hunter,67,Computer,Books,Credit Card,26,369.72
112.0,1905.0,Michael Smith,18,Frozen Bike,Toys,Debit Card,59,764.47
113.0,1377.0,Aaron Garcia,12,Tuna,Games,Credit Card,14,853.0
114.0,1649.0,Jessica Gonzalez,88,Fantastic Hat,Books,Wallet,24,585.25
115.0,3909.0,Christopher Molina,86,New Granite Chair,Sports,Debit Card,20,1550.14
116.0,3835.0,Betty Contreras,82,Mouse,Tools,Debit Card,39,695.39
117.0,6737.0,Nicole Morris,22,Mouse,Tools,Bank Transfer,60,695.39
118.0,9601.0,Joshua Lawrence,53,Metal Bacon,Industrial,Credit Card,40,1310.64
119.0,9070.0,Mark Mathis,21,Rubber Bike,Sports,Wallet,40,931.44
120.0,2874.0,Derek Steele,74,Bacon,Jewelery,Bank Transfer,57,556.2
121.0,9422.0,Robert Holmes,15,Soft Ball,Industrial,Bank Transfer,81,385.65
122.0,10725.0,Karl Bennett,67,Rubber Computer,Electronics,Credit Card,67,1464.95
123.0,761.0,Richard Walker,55,Concrete Computer,Sports,Debit Card,53,1248.86
124.0,12440.0,Darrell Allen,48,Concrete Fish,Kids,Credit Card,60,514.36
125.0,11451.0,Dustin Medina,43,Awesome Concrete Car,Movies,UPI,70,801.35
126.0,1083.0,John Ayala,73,Intelligent Pants,Electronics,Wallet,67,1237.3
127.0,12317.0,Travis Green,14,Keyboard,Sports,Bank Transfer,95,422.75
128.0,12555.0,Alicia Wright,100,Refined Metal Mouse,Games,UPI,66,229.81
129.0,10848.0,Cynthia Gilbert,35,Concrete Fish,Kids,Debit Card,85,514.36
130.0,14909.0,Angela Cameron,80,Handmade Pants,Clothing,Bank Transfer,88,314.31
131.0,10062.0,Martin Foster,54,Refined Soft Mouse,Clothing,UPI,23,1896.26
132.0,14117.0,Holly Young,49,Computer,Books,Credit Card,87,369.72
133.0,3707.0,Jared Patel,23,Rustic Shirt,Automotive,Credit Card,73,934.67
134.0,1377.0,Aaron Garcia,26,Frozen Chips,Games,Credit Card,81,959.42
135.0,604.0,Thomas Carrillo,18,Frozen Bike,Toys,UPI,98,764.47
136.0,7465.0,Dana Anderson,62,Incredible Wooden Cheese,Automotive,Credit Card,12,1438.34
137.0,11059.0,Jonathan Ford,87,Fantastic Mouse,Clothing,UPI,70,1609.2
138.0,6709.0,Tamara Scott,79,Refined Mouse,Industrial,Credit Card,8,1555.56
139.0,3125.0,Jeffery Lane,59,Rustic Frozen Gloves,Tools,Wallet,90,914.87
140.0,253.0,Jane Glenn,28,Keyboard,Sports,UPI,85,422.75
141.0,697.0,Anthony Mejia,95,Tasty Soft Fish,Tools,UPI,9,1747.7
142.0,11843.0,Christopher May,36,Ergonomic Table,Movies,Wallet,22,655.68
143.0,6279.0,Matthew Allen,40,Soap,Sports,UPI,54,633.73
144.0,3649.0,Kevin Fletcher,98,Gently Used Shoes,Toys,Debit Card,23,1774.54
145.0,1064.0,Anthony Hoffman,10,Rubber Cheese,Baby,Debit Card,68,1921.51
146.0,6723.0,Michelle Mckee,77,Generic Pants,Outdoors,Credit Card,22,538.25
147.0,1498.0,Brian Campbell,36,Ergonomic Steel Table,Shoes,Wallet,55,413.27
148.0,6746.0,Linda Lane,35,Generic Fish,Industrial,Credit Card,69,1522.54
149.0,12417.0,Erika Williams,26,Fantastic Chips,Clothing,UPI,64,510.9
150.0,5322.0,Nathan Mckinney,63,Soap,Sports,UPI,77,633.73
151.0,4492.0,Vincent Thompson,19,Ergonomic Salad,Tools,Debit Card,99,528.14
152.0,394.0,Danielle Park,84,Steel Chips,Tools,Bank Transfer,68,1286.83
153.0,10419.0,Heidi Foster,72,Computer,Books,Debit Card,99,369.72
154.0,5386.0,Tyler Young,91,Concrete Computer,Sports,Credit Card,20,1248.86
155.0,7761.0,Stephen Hernandez,91,Gently Used Concrete Computer,Toys,Wallet,97,742.42
156.0,9078.0,Eric Spence,65,Awesome Towels,Grocery,UPI,18,231.3
157.0,12964.0,Patrick Jones,92,Tasty Towels,Clothing,Bank Transfer,17,1991.37
158.0,2564.0,Anne Zhang,26,Frozen Chips,Games,Bank Transfer,27,959.42
159.0,8461.0,Joseph Harrington,81,Chicken,Games,Bank Transfer,55,1124.22
160.0,11204.0,Robert Clark,8,Gloves,Clothing,Credit Card,61,899.27
161.0,11852.0,Brittany Hall,58,Plastic Cheese,Grocery,Wallet,19,1036.28
162.0,10886.0,Stacey Simmons,17,Cotton Chicken,Sports,Wallet,70,1377.85
163.0,11793.0,Justin Joseph,38,Pizza,Home,Debit Card,47,843.24
164.0,7083.0,James Shah,74,Tasty Wooden Bacon,Jewelery,Debit Card,31,1245.9
165.0,837.0,Jill Aguirre,29,Rustic Granite Fish,Shoes,UPI,54,874.8
166.0,1605.0,Jason Perez,28,Keyboard,Sports,Debit Card,4,422.75
167.0,12474.0,Mr. Angel Kim II,69,Ergonomic Salad,Tools,UPI,73,528.14
168.0,14392.0,Jerry Klein,9,Used Soap,Home,Credit Card,97,474.95
169.0,8921.0,Derrick Hunt,6,Cheese,Shoes,Debit Card,57,1447.84
170.0,398.0,Jessica Munoz,96,Frozen Shoes,Home,Wallet,73,1628.5
171.0,2961.0,Glenn Phillips,57,Handcrafted Car,Shoes,Credit Card,8,1381.92
172.0,12463.0,John Quinn,91,Gently Used Concrete Computer,Toys,Debit Card,95,742.42
173.0,5781.0,Mrs. Linda Ryan,41,Plastic Hat,Movies,UPI,67,42.52
174.0,11201.0,Jonathan Scott,25,Small Plastic Hat,Grocery,UPI,22,170.23
175.0,4737.0,James Cruz,12,Frozen Tuna,Toys,UPI,64,1176.36
176.0,6829.0,Yolanda Reyes,87,Soft Mouse,Electronics,Debit Card,26,69.65
177.0,6416.0,Kyle Holden,9,Granite Soap,Movies,Credit Card,88,1017.43
178.0,6829.0,Yolanda Reyes,74,Tasty Bacon,Automotive,UPI,81,63.1
179.0,7944.0,Curtis Jackson,7,Table,Baby,Credit Card,93,1475.53
180.0,4831.0,Lisa Moore,10,Ergonomic Cheese,Toys,Credit Card,74,286.79
181.0,8974.0,Jennifer Garcia,38,Licensed Pizza,Tools,Debit Card,74,655.43
182.0,1201.0,Jacob Price,16,Unbranded Shoes,Music,UPI,13,1811.75
183.0,9515.0,Crystal Thomas,79,Refined Mouse,Industrial,Wallet,87,1555.56
184.0,5712.0,Denise Hammond,100,Metal Mouse,Industrial,Bank Transfer,17,567.35
185.0,14252.0,Michael Bell,39,Rubber Ball,Music,Wallet,12,1308.8
186.0,9749.0,Patrick Haney Jr.,94,Incredible Wooden Fish,Movies,Bank Transfer,28,1823.85
187.0,2029.0,Karen Bradshaw,33,Frozen Cheese,Sports,Bank Transfer,3,799.86
188.0,3450.0,Christopher Thomas,12,Sleek Frozen Tuna,Outdoors,UPI,53,1697.78
189.0,8346.0,David Scott,28,Keyboard,Sports,Wallet,32,422.75
190.0,10782.0,Toni Sullivan,14,Frozen Keyboard,Grocery,Debit Card,58,456.64
191.0,404.0,Jared Smith,90,Rustic Ball,Grocery,Credit Card,77,58.59
192.0,7964.0,Jessica White,32,Computer,Books,Credit Card,47,369.72
193.0,9183.0,Frank Anderson,17,Licensed Cotton Chicken,Kids,Bank Transfer,69,908.14
194.0,2516.0,Diana Wood,55,Computer,Books,Credit Card,67,369.72
195.0,6838.0,Dawn Green,17,Licensed Chicken,Industrial,UPI,73,1891.38
196.0,4287.0,Mark Diaz,19,Salad,Tools,UPI,2,1761.6
197.0,14446.0,Elizabeth Luna,41,Generic Hat,Baby,Debit Card,64,1213.25
198.0,12522.0,April Gonzalez,86,New Granite Chair,Sports,Debit Card,42,1550.14
199.0,11929.0,Jenna Shaffer,58,Plastic Cheese,Grocery,Debit Card,54,1036.28
200.0,14681.0,Lauren Ball,45,Metal Pants,Computers,Credit Card,17,1970.97
201.0,733.0,Mark Taylor,59,Rustic Frozen Gloves,Tools,Debit Card,21,914.87
202.0,9491.0,James Ingram,48,Generic Fish,Industrial,Debit Card,94,1522.54
203.0,8689.0,Christina Kent,79,Refined Mouse,Industrial,Bank Transfer,41,1555.56
204.0,2344.0,Edward Stewart,57,Car,Home,Bank Transfer,68,1543.38
205.0,1207.0,Alyssa Bryan,79,Refined Granite Mouse,Industrial,Debit Card,29,1315.5
206.0,10942.0,Mary Jackson,22,Steel Mouse,Grocery,Wallet,68,1488.7
207.0,9357.0,Kevin Maynard,40,Soft Soap,Home,Credit Card,32,1332.43
208.0,4917.0,Robert Chen,23,Rustic Steel Shirt,Garden,Bank Transfer,5,1061.5
209.0,8714.0,Vickie Obrien,3,Soft Gloves,Health,UPI,44,946.66
210.0,622.0,William Simpson,53,Fantastic Bacon,Jewelery,Wallet,43,1485.29
211.0,2286.0,Charles Rollins,87,Soft Mouse,Electronics,Wallet,96,69.65
212.0,13602.0,Daniel Hardy,95,Tasty Soft Fish,Tools,UPI,48,1747.7
213.0,10288.0,Michael Chen,43,Car,Home,Credit Card,96,1543.38
214.0,10640.0,Jenna Pratt,53,Metal Bacon,Industrial,Credit Card,71,1310.64
215.0,8062.0,Barbara Pineda,42,Pizza,Home,UPI,52,843.24
216.0,12711.0,Blake Blake,69,Salad,Tools,Wallet,44,1761.6
217.0,10911.0,Martin Brown,42,Intelligent Steel Pizza,Industrial,Debit Card,69,527.47
218.0,12073.0,Jason Banks Jr.,97,Granite Ball,Beauty,Credit Card,6,1933.85
219.0,10293.0,Veronica Hernandez,89,Used Computer,Clothing,Credit Card,33,1624.2
220.0,431.0,Paula Middleton,43,Car,Home,Wallet,48,1543.38
221.0,7057.0,Jessica Fisher,11,Metal Soap,Movies,Debit Card,67,1411.59
222.0,2450.0,Mr. Ryan Martin,38,Licensed Pizza,Tools,Credit Card,14,655.43
223.0,13715.0,Brenda Moore,79,Refined Granite Mouse,Industrial,Wallet,17,1315.5
224.0,4928.0,Kathleen Walker,35,Generic Fish,Industrial,UPI,47,1522.54
225.0,8598.0,David Gallagher,32,Fantastic Concrete Computer,Tools,Wallet,61,347.77
226.0,1012.0,Charles Clark,100,Refined Mouse,Industrial,Credit Card,15,1555.56
227.0,5359.0,Roberto Ballard,21,Rubber Bike,Sports,Bank Transfer,13,931.44
228.0,1218.0,Ashley Smith,43,Car,Home,Wallet,60,1543.38
229.0,11316.0,Jason Williams,79,Mouse,Tools,UPI,4,695.39
230.0,8481.0,Heidi Camacho,5,Sleek Bacon,Home,Wallet,83,1095.8
231.0,11675.0,Terri Ortiz,84,Awesome Chips,Tools,Debit Card,96,1416.93
232.0,12653.0,Taylor Alvarez,77,Generic Plastic Pants,Clothing,Credit Card,58,1758.26
233.0,13641.0,Marcus Fitzpatrick,80,Pants,Home,Bank Transfer,34,74.86
234.0,13572.0,Michael Patterson,78,Cotton Ball,Health,UPI,26,391.55
235.0,3718.0,Bryan Chambers,27,Unbranded Cotton Pizza,Beauty,Credit Card,72,894.7
236.0,7018.0,Mark Harper,76,Rubber Shoes,Computers,Credit Card,98,179.13
237.0,8628.0,Trevor Bailey,11,,Sports,UPI,87,633.73
238.0,596.0,Timothy Ingram,41,Generic Hat,Baby,Bank Transfer,92,1213.25
239.0,12463.0,John Quinn,2,Rustic Car,Outdoors,Debit Card,99,621.99
240.0,13519.0,John Pratt,75,Gently Used Rubber Soap,Baby,UPI,83,790.56
241.0,10994.0,David Mitchell,44,Towels,Shoes,Wallet,69,1502.13
242.0,12454.0,Jessica Evans,88,Granite Hat,Clothing,Wallet,70,1499.14
243.0,910.0,Jodi Bowman,66,Computer,Books,Wallet,91,369.72
244.0,9996.0,Richard Molina,31,Unbranded Chair,Shoes,Bank Transfer,41,830.7
245.0,8986.0,Kristina Johnson,1,Gently Used Mouse,Automotive,UPI,22,1717.88
246.0,12971.0,Natalie Jones,93,Tuna,Games,UPI,5,853.0
247.0,13590.0,Alexander Woodard,50,Sleek Granite Tuna,Baby,UPI,18,1333.44
248.0,1846.0,Kathleen Simmons,16,Shoes,Music,Wallet,55,1036.25
249.0,8450.0,Michael Smith,97,Ball,Garden,Bank Transfer,18,705.26
250.0,13570.0,Jacob Brown,64,Intelligent Frozen Tuna,Computers,Credit Card,86,100.23
251.0,13875.0,Sean Cummings,50,Sleek Granite Tuna,Baby,Wallet,50,1333.44
252.0,390.0,Ann Hicks,36,Table,Baby,Credit Card,81,1475.53
253.0,3038.0,Jorge Mcintosh,16,Unbranded Shoes,Music,Bank Transfer,22,1811.75
254.0,3290.0,Robert Martin,26,Fantastic Chips,Clothing,Credit Card,9,510.9
255.0,14654.0,Tommy Ortiz,19,Ergonomic Salad,Tools,Credit Card,25,528.14
256.0,12669.0,Mrs. Veronica Small,53,Fantastic Metal Bacon,Health,Bank Transfer,38,765.4
257.0,7391.0,Gary Herrera,51,Gloves,Clothing,Debit Card,69,899.27
258.0,7504.0,Howard Fernandez,14,Frozen Keyboard,Grocery,Bank Transfer,6,456.64
259.0,6483.0,Robin Scott,5,Granite Bacon,Books,Bank Transfer,67,676.1
260.0,9741.0,Nicholas Foster,20,Gorgeous Chips,Baby,Credit Card,85,1738.83
261.0,3410.0,Rebecca Brown,92,Tasty Towels,Clothing,Debit Card,11,1991.37
262.0,4621.0,Laurie Francis,36,Table,Baby,UPI,63,1475.53
263.0,9930.0,David Peterson,10,Ergonomic Cheese,Toys,Wallet,39,286.79
264.0,11881.0,John Liu MD,67,Intelligent Rubber Computer,Clothing,UPI,89,1303.19
265.0,13833.0,John Mays,87,Fantastic Soft Mouse,Shoes,UPI,8,417.67
266.0,5063.0,Ashley Olson,84,Awesome Steel Chips,Toys,Debit Card,30,997.24
267.0,4796.0,Susan Richards,44,Tasty Soft Towels,Tools,Bank Transfer,61,388.13
268.0,7113.0,James Berry,45,Licensed Metal Pants,Computers,Credit Card,69,815.44
269.0,14462.0,Daniel Garcia,49,Computer,Books,UPI,96,369.72
270.0,2427.0,Valerie Obrien,42,Pizza,Home,Credit Card,2,843.24
271.0,174.0,Jessica Johnson,73,Intelligent Pants,Electronics,Wallet,29,1237.3
272.0,11909.0,Devon Mccarthy,27,Cotton Pizza,Computers,Debit Card,55,642.72
273.0,9827.0,Debra Mullins,20,Cotton Chips,Shoes,Wallet,8,1479.22
274.0,9860.0,Richard Tucker,4,Gloves,Clothing,Wallet,20,899.27
275.0,8965.0,Thomas Guerra,9,Used Granite Soap,Music,Bank Transfer,79,771.37
276.0,6015.0,Brenda Harris,64,Intelligent Tuna,Health,Bank Transfer,23,157.7
277.0,12872.0,Brian Pham,49,Rubber Computer,Electronics,Debit Card,24,1464.95
278.0,6225.0,Cheryl Burns MD,16,Shoes,Music,Credit Card,4,1036.25
279.0,4274.0,Jerry Jones,88,Granite Hat,Clothing,Debit Card,30,1499.14
280.0,8995.0,Angela Hall,51,Tasty Gloves,Industrial,Bank Transfer,68,60.4
281.0,9554.0,Jackie Day,44,Towels,Shoes,UPI,56,1502.13
282.0,3430.0,Justin Martinez,98,Gently Used Shoes,Toys,Bank Transfer,67,1774.54
283.0,1111.0,Gregory May,33,Incredible Frozen Cheese,Tools,Wallet,77,596.11
284.0,5704.0,Leslie Walker,72,Concrete Computer,Sports,Bank Transfer,98,1248.86
285.0,4834.0,Jamie Nelson,78,Ball,Garden,Credit Card,82,705.26
286.0,5625.0,Jeffrey Spencer,32,Concrete Computer,Sports,Credit Card,22,1248.86
287.0,4276.0,Elizabeth Mitchell,59,Gloves,Clothing,Wallet,92,899.27
288.0,6024.0,Charles Hernandez,24,Sausages,Computers,UPI,44,307.1
289.0,5313.0,Savannah Myers,86,Granite Chair,Grocery,UPI,1,517.3
290.0,9599.0,Brandon Nelson,12,Tuna,Games,Debit Card,50,853.0
291.0,13890.0,Darlene Nguyen,98,Shoes,Music,Bank Transfer,48,1036.25
292.0,3296.0,Willie Jones,84,Awesome Chips,Tools,Debit Card,88,1416.93
293.0,14203.0,Nathaniel Shaw,99,Handmade Plastic Hat,Computers,Debit Card,47,1804.4
294.0,11226.0,Taylor Rodriguez,20,Gorgeous Chips,Baby,Credit Card,5,1738.83
295.0,2022.0,Jessica Collins,16,Unbranded Metal Shoes,Health,Bank Transfer,29,989.38
296.0,5377.0,Jonathan Estes,83,Wooden Tuna,Jewelery,Wallet,44,1994.44
297.0,506.0,Katherine Reyes,6,Metal Cheese,Electronics,UPI,56,745.31
298.0,14097.0,Rhonda Lewis,5,Sleek Bacon,Home,Credit Card,6,1095.8
299.0,1695.0,Kyle Harper,34,Handcrafted Chicken,Toys,Credit Card,92,1864.83
300.0,2676.0,John Tucker,8,Handcrafted Gloves,Kids,Bank Transfer,75,1350.69
301.0,10672.0,Christopher Watkins,78,Ball,Garden,Credit Card,30,705.26
302.0,2390.0,Mr. Luke Chapman,65,Cotton Towels,Computers,Credit Card,64,1426.31
303.0,9162.0,Hunter Russell,5,Bacon,$,Debit Card,36,556.2
304.0,8918.0,Earl Cruz,51,Tasty Soft Gloves,Health,Debit Card,79,990.76
305.0,10268.0,Diana Schmidt,34,Fresh Chicken,Tools,Credit Card,33,1494.34
306.0,4564.0,Kristen Barr,42,Steel Pizza,Outdoors,Wallet,12,1229.75
307.0,12560.0,Jessica Day,21,Rubber Bike,Sports,Wallet,53,931.44
308.0,6322.0,Robert Ortega,83,Wooden Tuna,Jewelery,UPI,28,1994.44
309.0,7300.0,Judy Miller,15,Small Soft Ball,Industrial,UPI,72,1526.71
310.0,7517.0,Ryan Reyes,64,Intelligent Frozen Tuna,Computers,Debit Card,29,100.23
311.0,3416.0,Shawna Greene,52,Ergonomic Soft Pants,Music,Debit Card,77,1788.66
312.0,2164.0,Michael Brennan,84,Awesome Steel Chips,Toys,Wallet,72,997.24
313.0,8454.0,Kristen Knight,78,Intelligent Cotton Ball,Movies,Bank Transfer,54,739.7
314.0,1190.0,Joseph Mooney,78,Cotton Ball,Health,Bank Transfer,19,391.55
315.0,6405.0,Steven Thompson,3,Gently Used Soft Gloves,Jewelery,Credit Card,17,1752.84
316.0,933.0,Carrie Shaw,27,Cotton Pizza,Computers,Debit Card,32,642.72
